379450.55, 6674454.57, -37.63, 1
379450.76, 6674454.41, -37.82, 1
379450.96, 6674454.25, -38.04, 1
379451.16, 6674454.09, -38.26, 1
379451.36, 6674453.93, -38.45, 1
379451.56, 6674453.77, -38.70, 1
379451.76, 6674453.62, -38.89, 1
379451.96, 6674453.46, -39.19, 1
379452.15, 6674453.30, -39.41, 1
379452.35, 6674453.13, -39.69, 1
379452.54, 6674452.97, -39.72, 1
379452.74, 6674452.81, -39.84, 1
379452.94, 6674452.65, -39.97, 1
379453.13, 6674452.48, -40.24, 1
379453.32, 6674452.32, -40.34, 1
379453.52, 6674452.15, -40.64, 1
379453.71, 6674451.99, -40.70, 1
379453.90, 6674451.82, -41.05, 1
379454.10, 6674451.65, -41.35, 1
379454.29, 6674451.49, -41.57, 1
379454.48, 6674451.32, -41.68, 1
379454.67, 6674451.15, -41.64, 1
379454.86, 6674450.98, -41.64, 1
379455.05, 6674450.81, -41.51, 1
379455.24, 6674450.64, -41.68, 1
379455.43, 6674450.47, -41.78, 1
379455.62, 6674450.30, -41.91, 1
379455.81, 6674450.13, -42.06, 1
379456.00, 6674449.95, -42.13, 1
379456.19, 6674449.78, -42.35, 1
379456.38, 6674449.61, -42.37, 1
379456.57, 6674449.44, -42.34, 1
379456.76, 6674449.27, -42.31, 1
379456.95, 6674449.10, -42.18, 1
379457.14, 6674448.92, -42.12, 1
379457.33, 6674448.75, -42.00, 1
379457.52, 6674448.58, -42.04, 1
379457.71, 6674448.41, -42.01, 1
379457.90, 6674448.24, -41.94, 1
379458.09, 6674448.07, -41.90, 1
379458.28, 6674447.89, -41.80, 1
379458.47, 6674447.72, -41.73, 1
379458.66, 6674447.55, -41.61, 1
379458.86, 6674447.38, -41.54, 1
379459.05, 6674447.21, -41.45, 1
379459.24, 6674447.04, -41.37, 1
379459.43, 6674446.87, -41.34, 1
379459.63, 6674446.70, -41.34, 1
379459.82, 6674446.53, -41.44, 1
379460.02, 6674446.36, -41.30, 1
379460.21, 6674446.19, -41.19, 1
379460.40, 6674446.02, -40.85, 1
379460.60, 6674445.85, -40.58, 1
379460.80, 6674445.68, -40.29, 1
379461.00, 6674445.51, -40.07, 1
379461.19, 6674445.35, -39.97, 1
379461.39, 6674445.18, -39.86, 1
379461.59, 6674445.01, -39.74, 1
379461.79, 6674444.85, -39.63, 1
379461.99, 6674444.68, -39.38, 1
379462.19, 6674444.52, -39.02, 1
379462.39, 6674444.36, -38.85, 1
379462.60, 6674444.19, -38.59, 1
379462.80, 6674444.03, -38.24, 1
379463.00, 6674443.87, -38.18, 1
379463.21, 6674443.71, -37.91, 1
379463.41, 6674443.55, -37.75, 1
379463.62, 6674443.39, -37.41, 1
379463.83, 6674443.23, -37.24, 1
379464.03, 6674443.08, -36.70, 1
379464.24, 6674442.92, -36.29, 1
379464.45, 6674442.77, -35.93, 1
379464.66, 6674442.62, -35.61, 1
379464.88, 6674442.46, -35.29, 1
379465.09, 6674442.31, -35.02, 1
379465.30, 6674442.16, -34.61, 1
379465.52, 6674442.02, -34.41, 1
379465.73, 6674441.87, -34.14, 1
379465.95, 6674441.72, -33.92, 1
379466.17, 6674441.58, -33.76, 1
379466.38, 6674441.43, -33.58, 1
379466.60, 6674441.29, -33.02, 1
379466.82, 6674441.14, -32.53, 1
379467.04, 6674441.00, -31.88, 1
379467.27, 6674440.87, -31.23, 1
379467.49, 6674440.73, -30.77, 1
379467.72, 6674440.60, -30.43, 1
379467.94, 6674440.46, -30.20, 1
379468.17, 6674440.33, -30.07, 1
379468.40, 6674440.20, -30.12, 1
379468.62, 6674440.07, -29.98, 1
379468.85, 6674439.94, -29.65, 1
379469.08, 6674439.81, -29.03, 1
379469.31, 6674439.68, -28.46, 1
379469.54, 6674439.56, -27.91, 1
379469.78, 6674439.43, -27.56, 1
379470.01, 6674439.31, -27.16, 1
379470.24, 6674439.19, -26.98, 1
379470.48, 6674439.07, -26.81, 1
379470.71, 6674438.95, -26.79, 1
379470.95, 6674438.84, -26.55, 1
379471.19, 6674438.72, -26.37, 1
379471.42, 6674438.60, -26.00, 1
379471.66, 6674438.49, -25.62, 1
379471.90, 6674438.37, -25.41, 1
379472.14, 6674438.26, -25.10, 1
379472.38, 6674438.15, -24.97, 1
379472.62, 6674438.04, -24.60, 1
379472.86, 6674437.93, -24.59, 1
379473.10, 6674437.82, -24.35, 1
379473.34, 6674437.71, -24.23, 1
379473.58, 6674437.60, -23.82, 1
379473.82, 6674437.49, -23.55, 1
379474.07, 6674437.39, -23.22, 1
379474.31, 6674437.28, -22.93, 1
379474.56, 6674437.18, -22.78, 1
379474.80, 6674437.08, -22.79, 1
379475.05, 6674436.97, -22.74, 1
379475.29, 6674436.87, -22.73, 1
379475.54, 6674436.77, -22.66, 1
379475.78, 6674436.66, -22.61, 1
379476.03, 6674436.56, -22.57, 1
379476.28, 6674436.46, -22.43, 1
379476.52, 6674436.36, -22.54, 1
379476.77, 6674436.26, -22.49, 1
379477.01, 6674436.15, -22.56, 1
